heart_rate_max,heart_rate_avg,heart_rate_rest,daily_water,carbs_amount,protein_amount,fat_amount,sugar_content,sodium_content_mg,cholesterol_content,portion_size,prep_time,recipe_rating,lean_body_mass
166.835,122.2679,52.3843,2.6943,296.9309,117.7518,78.208,39.0073,222.834,142.318,367.9843,63.8342,1.5477,81.5576
176.876,123.1252,71.9866,3.4934,169.8838,66.7025,44.7221,26.0181,1694.3102,100.9753,454.5228,28.9845,4.8928,40.1741
167.7767,166.7716,74.2984,3.4898,235.7299,94.3776,62.6738,27.023,1268.7718,186.1688,483.6967,14.2131,3.4019,71.5969
170.0188,153.6037,58.7815,2.3009,217.4013,86.6232,57.7443,2.898,270.2337,198.6783,429.4216,114.4372,3.4624,44.3259
191.1773,156.0927,73.6148,3.4321,305.8852,121.8779,82.1225,46.7937,1992.2008,252.1501,162.1792,62.6257,2.8024,43.6642
173.7094,168.6147,62.1454,3.5028,182.4545,71.3363,47.9118,30.3396,73.1207,210.8309,241.5372,116.5869,2.9187,51.227
184.882,141.0193,58.0973,2.7177,280.9324,112.2861,75.0145,12.4094,2213.3099,58.6242,292.7713,46.4997,3.8164,66.5647
186.9029,161.2422,70.0258,2.5135,298.4047,119.6736,80.3143,20.1947,928.9582,9.7151,327.92,61.9645,1.3661,70.8261
180.1145,130.4607,60.9391,3.0039,199.158,79.9036,53.1617,26.0461,404.2843,35.6019,353.1402,88.473,2.3951,88.0201
182.3738,137.8364,67.7118,3.4702,428.8659,171.1878,113.7599,43.1455,880.0097,15.5213,309.2747,42.1077,1.1017,43.3886
165.0037,137.6153,69.1846,3.4963,252.6595,99.9805,66.8323,9.1616,1568.7443,81.5261,147.1724,86.4712,4.3143,39.1591
182.4387,142.2243,53.9291,2.5977,218.0903,85.9942,57.7834,4.6565,2178.612,115.955,241.2672,112.21,4.8602,46.5948
192.9854,143.4015,50.1546,2.9208,177.5309,71.6661,47.9053,15.3866,2288.0003,30.4046,375.8323,86.4328,3.687,85.4744
162.1469,134.8872,61.9682,3.4874,302.7422,121.8404,81.4279,46.9166,848.5973,259.0616,299.7325,22.5396,2.1734,40.2914
184.304,131.5388,68.0854,2.7203,178.3279,70.7108,47.1071,7.6965,1246.4715,137.9704,219.7334,16.539,1.827,54.9095
185.8781,140.209,52.8226,2.2022,288.8727,115.2523,76.6995,3.4754,450.356,250.8562,332.7096,92.9558,3.0759,43.6168
189.3982,142.295,49.9244,2.3041,298.2697,118.7444,79.4526,25.2258,837.2118,299.5216,299.7855,15.7143,2.6611,63.9077
172.3554,120.372,52.2212,1.6266,197.6204,79.6679,52.7625,44.41,1628.8672,222.2742,467.243,71.9334,4.6206,80.8262
171.8141,132.1236,56.0388,2.0047,290.933,115.8134,77.5655,22.7261,784.1451,86.9091,392.7824,35.6164,4.813,37.0247
165.3331,147.275,62.2274,2.5129,250.0358,100.3917,66.8481,16.1734,1302.4037,52.3352,122.32,36.2779,1.0722,38.3088
177.5666,153.5607,65.184,3.4776,175.3383,68.9273,46.4906,0.9466,293.7318,188.2959,125.676,15.6699,2.768,60.1021
175.2328,124.0031,54.9768,1.8971,247.089,98.1001,66.0472,43.1297,2123.9457,211.7606,399.6949,5.8365,4.6951,35.721
195.2188,131.33,59.9491,2.0387,229.6867,91.6969,60.4551,40.633,1990.6993,272.7168,199.4448,73.183,3.7029,61.1133
177.4391,124.1651,60.9465,1.5695,220.7017,87.3807,58.0199,4.8747,1191.1368,251.4121,365.8981,43.5712,1.0776,49.0161
188.332,137.2697,49.998,3.3984,276.9406,109.6107,73.7032,12.5553,152.5634,215.6241,401.5917,5.8857,4.4089,54.4341
188.5857,157.6706,69.0461,1.4928,267.7247,105.8918,71.6405,31.7092,1726.9658,286.3541,120.6742,110.7818,1.2943,70.7501
173.2662,130.9857,63.1929,1.4941,266.2979,106.4492,70.711,11.1546,2347.3753,158.7952,224.1081,45.6571,4.9893,76.3124
192.0649,120.919,49.8842,2.794,190.4513,76.2289,50.8673,2.9785,2396.9682,110.3016,332.3549,61.1511,2.388,75.2785
171.9441,160.7284,60.2219,2.9121,247.4529,98.5196,66.0258,21.2685,2151.1176,74.389,403.5745,110.6388,1.1462,60.021
185.7105,138.5189,71.4985,2.4038,297.4025,120.2871,79.455,31.197,620.3408,129.1813,225.6834,43.5084,4.6618,83.0291
174.1042,155.5084,67.031,2.2835,198.6133,79.4095,52.9808,42.8501,2078.2455,254.3413,467.093,36.7622,3.974,34.7045
168.1194,132.2214,50.7704,2.6104,200.0027,80.4465,53.4417,33.328,1038.6378,222.8683,462.0379,45.5889,4.399,39.3436
197.5311,156.0185,55.7263,2.2319,306.725,122.5258,81.5557,15.3719,108.2702,29.8746,393.3581,62.4223,1.9096,75.8234
160.7913,134.1826,63.0836,2.9036,285.178,114.6612,76.8599,26.3547,2342.6531,294.2057,119.4973,104.0543,1.1944,73.2873
164.0682,149.4464,74.2046,1.489,294.5072,118.8905,79.1004,30.3525,1685.6268,148.5086,274.6413,118.5548,3.7063,86.1477
169.3998,151.1953,58.1241,2.0211,179.4832,71.8325,48.0169,28.5434,1024.3664,163.7812,421.2301,117.3372,3.4751,35.3345
183.9214,131.5682,68.1468,2.7218,178.4923,71.1574,47.472,8.0577,1256.2833,139.5759,220.9985,16.5422,1.8206,81.6473
167.1015,165.2945,61.9522,2.7007,301.9532,121.3921,80.8666,15.4277,84.8265,230.9625,414.4998,42.8753,3.2624,50.2412
182.8185,135.3257,73.9076,3.4946,409.9275,164.1225,108.9128,7.4995,1528.8941,100.4452,109.426,21.6612,3.5643,84.7672
189.9519,161.406,50.3721,2.1763,218.6159,86.829,58.4213,15.0824,1255.8707,213.1648,293.95,106.4392,2.1655,76.518
161.8272,152.8957,52.9783,3.5031,296.2546,118.412,79.4158,19.0181,350.2206,218.5744,117.0879,13.6166,4.4178,35.0279
177.8923,152.6123,69.7591,3.4935,283.1652,113.0952,75.3621,20.8641,222.4881,121.4285,455.6655,37.1989,3.0756,40.2987
170.0162,165.7747,51.9764,3.4817,199.3274,78.9327,52.8092,40.0189,1475.3249,1.0883,385.3353,86.8273,4.7756,68.9982
168.0842,142.4214,60.9104,2.696,192.8953,76.9128,51.4198,43.1101,71.5944,292.4368,352.3056,40.0603,2.8729,50.0709
181.885,134.4563,49.9492,2.0072,255.1773,101.952,68.0668,3.1702,1379.6831,154.5635,206.7266,22.0528,4.7096,85.9583
177.1721,123.4202,72.0559,3.499,169.7791,65.8974,44.7888,25.9477,1705.5293,100.2408,453.2434,28.4303,4.8674,55.3795
179.1936,159.9174,59.8784,3.3222,241.1987,96.1964,64.3951,40.4844,2366.382,150.6307,281.3951,27.3031,4.6085,75.5912
188.059,140.9672,65.1277,2.3891,300.6362,120.4395,80.0829,2.0451,2098.7437,21.2137,229.2345,57.3882,3.8313,73.8967
166.1597,129.8976,61.9783,2.6346,285.7277,113.9625,75.8018,34.4177,1225.1391,251.9344,358.0667,15.3309,3.0999,45.9111
187.9829,156.9116,66.7123,2.6999,312.9266,124.9405,83.3615,26.1626,1204.6011,159.2523,455.8486,63.9832,1.5078,50.89
198.0943,153.29,56.906,2.7088,220.809,88.3461,58.2883,28.9234,243.6496,251.3158,172.6643,81.1154,2.6055,43.9479
174.1061,150.3593,64.2863,2.0089,238.3755,95.0393,62.7206,7.7944,2306.6111,38.9019,496.1607,104.8266,1.6727,81.948
166.6645,128.0845,49.8807,2.491,191.5435,76.6053,50.5388,49.8635,759.7215,291.1908,414.5947,26.6581,1.6076,80.1157
167.7156,166.526,74.3371,3.5104,235.8366,94.2546,62.8718,27.2863,1253.009,185.7471,483.311,14.2425,3.4105,82.4256
172.1298,132.043,61.8317,3.1133,273.8842,109.3579,72.6774,35.6,953.0705,198.3584,399.5586,44.2265,4.4243,35.3195
175.0794,168.2686,56.7395,3.074,285.186,114.6354,76.1001,27.6923,408.4846,1.7162,205.7964,103.0629,4.6001,54.9221
194.8559,131.0646,59.8524,2.0247,229.143,91.7734,60.7993,40.8666,1984.2878,270.7175,199.8119,73.983,3.7181,80.362
184.122,131.6419,68.0933,2.7288,177.6643,70.6104,47.2238,7.6542,1242.7723,139.2055,220.8904,15.7019,1.8244,56.3121
196.1141,157.1428,65.1926,1.9995,170.7227,68.4188,46.0039,42.4782,1360.6199,84.0387,471.592,19.3587,4.2581,66.16
167.1828,158.131,74.0936,2.5027,246.7903,99.334,66.2481,25.2909,303.891,60.0375,386.4633,85.3123,4.901,46.7045
183.8176,141.165,51.7052,2.8818,261.9117,105.2116,70.4734,3.1325,1504.8499,74.7809,486.071,36.6342,3.1712,39.0065
184.6887,132.2451,54.0879,2.7152,369.3723,147.866,98.5223,35.8582,125.0859,243.0378,472.1221,73.822,3.9172,67.4751
198.3134,153.4516,57.0175,2.7004,220.7065,88.2438,58.1813,28.9836,244.2943,251.6834,174.4428,81.3922,2.6114,61.7424
183.864,157.7821,64.1354,2.7173,275.0995,109.474,73.1272,31.5222,1800.1648,43.0903,315.0326,112.9144,2.8485,57.3747
160.2669,167.1249,58.1707,2.3042,308.7643,122.7749,82.1828,48.7052,1472.3468,208.0923,254.9827,93.9691,3.7768,63.0203
171.0564,141.037,54.0132,1.7954,218.2851,86.7351,57.5821,39.5575,1268.8329,117.1778,209.7629,9.0217,1.6707,53.5868
197.5299,156.0852,55.9246,2.2276,307.6162,122.9205,81.4939,15.4734,118.5211,31.2343,391.881,62.0012,1.9145,75.8376
165.056,134.3175,57.7546,3.596,196.0797,80.108,52.221,37.7175,1390.4581,241.8427,116.5522,79.5399,4.7132,61.3388
188.1546,137.4028,60.9354,2.6934,268.6022,107.8939,72.1403,12.868,1207.0371,222.1493,468.8112,46.138,3.8956,61.9366
181.8795,138.6885,54.7252,2.31,163.835,66.0369,44.6935,39.2648,879.012,135.5642,430.482,17.1639,1.5297,38.2978
168.8709,125.3906,57.987,3.431,240.7111,95.8693,65.0906,32.2806,89.7785,141.8678,187.0856,86.9172,3.6825,46.2355
166.9136,158.1062,74.0866,2.5072,247.8362,99.2461,66.2505,25.4039,302.8361,60.453,386.187,85.7468,4.8937,36.0242
161.6093,123.779,49.7844,2.7136,310.8196,123.5234,82.5132,44.3532,1586.8186,204.6426,500.7885,117.1112,2.6483,51.9119
165.2074,134.2691,57.9076,3.593,195.5377,80.2719,52.2476,37.672,1403.2116,243.6515,119.321,79.6248,4.727,59.9799
177.5332,124.2972,61.0039,1.5832,219.4298,87.3469,58.097,4.9688,1199.2102,252.5837,366.2263,43.3078,1.1132,38.1076
199.0965,132.3089,60.352,1.9875,350.414,140.0639,93.261,39.2888,298.2034,58.7039,387.0517,76.2967,4.561,43.9365
172.9101,140.7739,55.0107,2.793,207.7907,82.8097,55.7089,4.4854,379.03,281.1614,161.9948,66.7493,4.1398,38.3891
182.8972,135.2422,73.9866,3.5027,410.5312,163.9676,109.2768,7.3454,1526.0699,99.2562,109.8984,21.161,3.586,68.9753
195.0294,124.3126,51.7154,3.1029,169.9962,68.5157,45.5002,41.4227,2321.703,149.7037,211.4319,9.068,2.1891,44.9165
197.0803,139.1345,66.1352,1.8143,201.3027,80.2404,54.0715,37.1655,1820.2241,17.8772,302.8526,15.645,3.2612,87.9915
195.2085,126.3467,63.0138,2.1006,184.7043,73.914,49.1915,38.5601,859.3186,30.2665,383.1699,17.5203,2.929,48.7546
192.2682,133.1516,50.1524,2.3957,282.9924,112.4645,75.3071,9.3981,432.9244,5.0264,458.4938,104.8417,1.8861,47.6825
197.3891,156.3179,55.9164,2.2149,306.61,122.9114,81.6433,15.7345,115.5912,31.1549,391.7964,62.6026,1.8995,65.5139
178.9769,159.9177,59.9039,3.3275,241.8786,96.1519,64.518,40.3344,2369.7579,150.9978,284.0794,27.9585,4.5959,41.9752
175.0766,167.8387,56.5978,3.0825,285.6488,114.3861,76.0995,27.4783,421.4034,0.2735,206.7096,103.0782,4.599,47.1516
169.1084,124.482,51.8771,1.5089,282.2815,112.5555,74.8562,30.1063,1412.0447,133.1633,178.3187,67.851,1.5492,44.6063
167.8255,159.5107,67.1029,2.4723,219.1991,87.4,58.4581,25.6912,2355.225,54.4186,369.6111,21.617,2.491,77.367
182.0003,134.633,49.9563,1.997,254.048,101.578,67.7702,2.9692,1368.8681,153.4425,205.0091,22.1119,4.7202,77.8852
197.5468,156.1499,55.9454,2.2107,306.3433,122.7111,81.6524,15.3605,100.623,31.9129,394.2789,62.6323,1.8843,49.7384
168.8518,124.843,51.8778,1.5118,280.9581,112.4777,74.7751,29.7686,1421.896,134.6476,177.3461,67.8762,1.5197,64.4876
194.9431,131.0624,59.8385,2.0205,228.0495,91.6657,60.6343,40.5581,1985.894,270.7878,199.6909,73.6114,3.7019,63.5355
192.2395,134.9322,58.137,2.0221,320.965,128.7786,85.6939,7.4386,2424.9784,251.4753,94.3239,49.3292,1.9232,61.0894
188.1827,137.1567,61.0475,2.6969,269.7191,107.584,71.9086,12.8374,1209.8359,222.9085,466.6425,45.4845,3.8888,84.0962
193.0641,143.8447,57.9399,2.4237,282.867,113.5419,76.0056,12.5549,1227.5493,3.9875,344.8365,118.004,3.1955,85.5659
165.7129,156.7453,65.9679,2.6197,231.6278,92.6575,61.3626,15.5441,188.3223,144.4853,130.2211,109.9262,3.1879,38.165
194.9153,127.2306,53.9259,3.2031,413.4053,165.8613,110.32,30.4559,681.8637,145.881,275.2355,39.058,3.4081,80.1026
189.6456,136.4371,51.799,1.8039,223.3262,88.8787,59.234,14.8609,308.8516,230.2185,402.6142,71.4693,1.8285,36.6281
170.0276,165.712,52.0688,3.4878,199.1508,79.3046,52.7137,40.0381,1467.6962,1.6062,385.4761,86.2791,4.7547,77.0072
167.0703,128.016,49.8809,2.499,190.7549,76.4286,50.5217,49.864,756.2426,290.7866,414.3305,26.3126,1.583,70.4765
175.2257,167.837,56.7771,3.0812,286.5355,114.3406,75.9642,27.7022,404.9672,0.8285,208.1123,103.256,4.6043,65.8367
193.1031,143.3877,49.9456,2.9145,178.0734,71.2461,47.8779,15.2361,2295.0591,30.0056,376.7965,85.6968,3.6972,89.5605
196.1483,157.3107,65.2162,1.9964,171.1788,68.0261,46.0016,42.2609,1371.2319,83.4585,471.3058,18.9273,4.2612,73.3489
188.5009,157.5425,69.0919,1.4947,267.3046,106.0991,71.9586,31.9398,1725.4748,284.5322,120.5225,110.6263,1.3209,82.3871
183.7452,141.0653,51.8599,2.8762,263.1735,105.7367,70.4126,3.0535,1507.4785,74.5571,487.6921,36.6816,3.1981,55.5577
162.1239,134.8157,62.0278,3.475,304.9747,121.4462,81.5862,46.9915,866.4286,258.9518,300.3222,22.6172,2.1766,80.3346
172.1996,120.3854,52.2539,1.6212,197.0559,79.5603,52.4218,44.2738,1597.9639,219.6675,468.3129,71.9011,4.6168,34.9453
174.2421,155.6686,67.0565,2.2785,197.9251,79.7543,52.9742,42.9521,2094.7098,253.0624,467.1241,36.6261,3.9697,54.1404
160.8089,134.4221,63.0158,2.918,285.5039,114.9425,76.777,26.2083,2346.3018,294.97,119.8413,103.4444,1.1892,88.3791
166.783,128.1785,49.9661,2.49,190.8398,76.6189,50.7436,50.0102,759.688,289.2876,414.7566,26.3658,1.6098,81.2122
166.7505,128.0185,49.9766,2.4902,192.2233,77.0604,50.5685,49.9391,756.9528,291.3616,414.946,26.3322,1.5961,78.9827
176.8011,122.9233,72.2047,2.116,332.3928,133.9075,88.7039,38.7355,894.7946,269.055,248.601,113.5427,2.0357,57.4838
181.7122,155.2162,57.0793,2.6201,302.0139,121.9147,81.3578,9.2021,1460.3886,111.7892,340.1871,21.1459,1.6892,79.7664
181.8801,134.6336,50.0136,2.0027,255.1286,101.3583,67.86,2.7501,1380.2782,154.4059,204.148,22.6548,4.7123,34.4776
194.965,131.1178,59.7261,2.0275,229.0756,91.7884,60.6765,40.6647,1989.943,270.3147,200.1323,73.908,3.726,82.9093
168.1958,142.7011,60.8918,2.6903,192.4574,76.8967,50.9713,43.2159,71.4879,293.9646,351.6435,40.2764,2.8765,57.8268
194.6254,127.1499,53.9054,3.1989,413.9162,165.8133,110.775,30.8548,671.5966,144.7317,275.7089,37.8703,3.4122,64.7534
162.1666,134.0094,65.893,3.5703,284.7736,112.1541,75.4276,48.6796,1461.7087,208.4234,153.6268,73.8617,4.1204,34.5981
177.0593,138.8302,74.0285,3.4804,265.8284,105.7576,70.304,45.3449,624.3759,84.5116,214.699,4.4683,3.0568,74.5117
